It was first published on 19 December 1843 by Chapman & Hall in London .,The book was published on 19 December 1843 .
"The orbital parameters suggest that it may belong , together with Sycorax and Setebos to the same dynamic cluster , suggesting common origin .","The orbital parameters suggest that it may belong to the same dynamic cluster as Sycorax and Setebos , suggesting common origin ."
The ability of these `` Penicillium '' species to grow on seeds and other stored foods depends on their ability to thrive in low humidity and to colonize rapidly by aerial dispersion while the seeds are sufficiently moist .,The ability of these `` Penicillium '' species to grow on seeds and other stored foods depends on their propensity to thrive in low humidity and to colonize rapidly by aerial dispersion while the seeds are sufficiently moist .
Some geologists have asked whether the Iceland hotspot has the same cause as other hotspots such as the Hawaii hotspot .,Some geologists have questioned whether the Iceland hotspot has the same origin as other hotspots such as the Hawaii hotspot .
It is a weak oxidizing agent ( can be reduced to tellurium ) and a weak reducing agent ( can be oxidized to tellurates ) .,It is a water-soluble white solid and a weak reducing agent .
"Philip Warren Anderson ( born December 13 , 1923 ) is an American physicist .","Philip Warren Anderson ( born December 13 , 1923 ) is an American physicist and Nobel laureate ."
"In October 2007 , Hurwicz shared `` The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel '' with Eric Maskin of the Institute for Advanced Study and Roger Myerson of the University of Chicago `` for having laid the foundations of mechanism design theory . ''",Hurwicz shared the 2007 Nobel Memorial Prize in Economic Sciences with Eric Maskin and Roger Myerson for their work on mechanism design .
Sulfur dioxide ( also sulphur dioxide ) is the chemical compound with the formula SO .,Sulfur dioxide is also a good reductant .
About 20 % of the known species are benthic and can attach to algae or rocks .,"About 20 % of the known species are benthic , and can attach to algae and rocks ."
"If the cells show changes , known as cytopathic effects , then a culture is positive , meaning the test indicates infection .","If the cells show changes , known as cytopathic effects , then the culture is positive ."
"Inside , the barrels of gunpowder were discovered hidden under piles of firewood and coal .",The barrels of gunpowder were discovered hidden under piles of faggots and coal .
"Kettlewell repeated the experiment in 1955 in an unpolluted woodland in Dorset , and again in polluted woods in Birmingham .",Kettlewell repeated the experiment in 1955 in unpolluted woodlands in Dorset and again in the polluted woods in Birmingham .
It is on Nottawasaga Bay at the southern end of Georgian Bay .,It is situated on Nottawasaga Bay at the southern point of Georgian Bay .
More recent research into the Pygmy subspecies suggests this may be an underestimate .,More recent research into the pygmy subspecies suggests this may be an overestimate .
The only time a flying lizard comes to the ground is when a female is ready to lay her eggs .,The only time a flying lizard ventures to the ground is when a female is ready to lay her eggs .
The latest determinations use astro-geodetic measurements and the methods of satellite geodesy to get the reference ellipsoids .,The latest determinations use astro-geodetic measurements and the methods of satellite geodesy to determine the reference ellipsoids .
"However , most rare earth elements are not found concentrated or in pure forms .",The rare earth elements are often found together .
A group of scientists go to Svalbard and prepare to spend the winter in an old mining camp .,A group of scientists land in Svalbard and prepare to overwinter in an abandoned mining camp .
"Rhodophytic algae contain rhodoplasts , which are red chloroplasts which allow the algae to photosynthesise to a depth of up to 268 metres .","Rhodophytic algae contain rhodoplasts , which are red chloroplasts that allow the algae to photosynthesise to a depth of up to 268 m ."
"During the 1960s , the Black Star of Queensland was on display at the Smithsonian as part of an exhibition with the Hope Diamond .",The Black Star of Queensland was on display during the 1960s at the Smithsonian as part of a display with the Hope Diamond .
"He worked with H. J. Muller , a pioneer of radiation genetics ( and later , a Nobel Prize winner ) .","Muller , who pioneered radiation genetics ( and was also to win a Nobel Prize ) ."
Kraken Mare is the largest known lake on the surface of Saturn 's moon Titan .,Kraken Mare is the largest known body of liquid on the surface of Saturn 's moon Titan .
It is made from chromium ore and is part of the process for making chromium metal .,"It is derived from the mineral chromite , ."
The mayor know specimens reach the 10.6 mm .,The largest known specimens reach 10.6 mm .
It was released on November 16 2007 .,"It was released on October 4 , 2011 ."
Autolycus ' surviving works include a book on spheres ( called `` On the Moving Sphere '' ) and another on the rising and setting of celestial bodies .,Autolycus ' surviving works include a book on spheres entitled `` On the Moving Sphere '' and another `` On Risings and Settings '' of celestial bodies .
"The development of photosynthesis gradually liberated them from the 'hydrothermal ghetto ' by proving a more widely-available energy source , sunlight , although initially the photosynthesizing mats still depended on the diffusion of chemicals emitted by hydrothermal vents .","Originally they depended on hydrothermal vents for energy and chemical `` food '' , but the development of photosynthesis gradually liberated them from the `` hydrothermal ghetto '' by providing a more widely available energy source , sunlight , although initially the photosynthesizing mats still depended on the diffusion of chemicals emitted by hydrothermal vents ."
