The first official complete sell out came at Revolution 14 and is now a regular occurrence .,The first official sell-out was Revolution 14 .
The course turns back towards the pit straight after turn 6 and is 2.71 km long .,The course turns back towards the pit straight after turn 6 and is 2.71 kilometres long in total .
"He previously played in the National Hockey League ( NHL ) for the Edmonton Oilers , Calgary Flames , St. Louis Blues , Columbus Blue Jackets and Atlanta Thrashers .","He previously played in the National Hockey League ( NHL ) for the Edmonton Oilers , Calgary Flames , St. Louis Blues , and Columbus Blue Jackets ."
"A right-handed batsman , he played 22 Test matches for England , captaining the side in 15 matches , winning nine , losing one and drawing five .","Of his 15 Tests as captain , he won nine , lost one and drew five ."
"Since 2002 , Qatar has hosted the yearly Tour of Qatar , a cycling race in six stages .","Since 2002 , Qatar has hosted the annual Tour of Qatar , a cycling race in six stages ."
"It was announced on 9 October 2007 that following the retirement of Alexander Wurz , Nakajima would race for Williams in the season finale in Brazilian Grand Prix .","It was announced on 9 October 2007 that following the retirement of Alexander Wurz , Nakajima would race for Williams in the season finale in Brazil ."
"During his college career , Stover made 64 of 88 field goal attempts .","During his college career , Stover successfully converted on 64 of 88 field goal attempts ."
It is now thought of as both sportswear and casual clothing .,It is considered to be both sportswear and casual civilian clothing .
"Linke 's international debut with the Germany national team took place in a 3–0 victory over South Africa , on 15 November 1997 .","Linke 's debut with the Germany national team took place in a 3–0 victory over South Africa , on 15 November 1997 ."
"The idea for the Money in the Bank match was introduced by Chris Jericho who proposed a six-man Ladder match , for the event in which the winner would receive a contract for a World title match at the place and time of his choosing .","The idea for the Money in the Bank match was introduced by Jericho who proposed a six-man ladder match , for the event in which the winner would receive a contract for a World title match at the place and time of his choosing ."
"26th Diamonds v Silver Ferns , Adelaide","12th Diamonds v Silver Ferns , Auckland"
"He was a member of a team that won the Stanley Cup three times , all of them being the Canadiens .","He was a member of a Stanley Cup–winning team three times , all with the Canadiens ."
The Whole-Poland bike race Masters has been organized in Chojnów once a year for the past few years .,The Whole-Poland bike race `` Masters '' has been organized yearly in Chojnów for the past few years .
"On July 3 , 2009 , Michael R. Barrick , a Canadian artist had created two pictures showing Pedobear together with the mascots of 2010 Winter Olympic and Paralympic Games .","On 3 July 2009 , Canadian artist Michael R. Barrick created two composite images depicting Pedobear grouped together with the mascots of 2010 Winter Olympic and Paralympic Games ."
"During the time of his callup , Halák had recorded a 2.00 goals against average ( GAA ) with the Bulldogs , which was the lowest in the AHL .","At the time of his call-up , Halák had a 2.00 goals against average ( GAA ) with the Bulldogs , the lowest in the AHL ."
"On the February 5 episode of FCW television , he defeated Dean Ambrose and Seth Rollins in a triple threat match to become the number one contender for the FCW Florida Heavyweight Championship but he was unable to win the championship when he was defeated by champion Kruger .","On the February 5 episode of `` FCW '' television , he defeated Dean Ambrose and Seth Rollins in a triple threat match to become the number one contender to the FCW Florida Heavyweight Championship ."
"He played in 1,206 games over 20 National Hockey League ( NHL ) seasons and for the Detroit Red Wings and Toronto Maple Leafs between 1950 and 1970 .","He played 52 games that season , and 51 in 1948–49 ."
Players of the team are full Spanish citizens who are able to play for Spain if they want to .,Catalan players are full Spanish citizens who are eligible to play for Spain .
Tatsu was drafted to the SmackDown brand as part of the 2011 Supplemental Draft on April 26 .,"On April 26 , Tatsu was drafted to the SmackDown brand as part of the 2011 supplemental draft ."
He competed in the 2011 IPC Athletics World Championships where he was one of thirty-two athletes from Spain .,He qualified for and competed in the 2011 IPC Athletics World Championships where he was one of thirty-two competitors representing Spain .
There were several inter-promotional matches after Unforgiven .,There were several interpromotional matches after Unforgiven .
"Before the race he confirmed he will remain with Team Columbia – HTC in 2010 , ending speculation linking him with a move to newly created British team , Team Sky .","Before the race he confirmed that he would remain with in 2010 , ending speculation linking him with a move to newly created British team , ."
"Senna was given a state funeral in his home country of Brazil , where around 500,000 people lined the streets to watch the coffin pass .","Senna was given a state funeral in São Paulo , Brazil on 5 May 1994 ."
Dryden was known for the distinction of creating ( as well as being the first goaltender to employ ) the modern day goaltending mask consisting of a fiberglass mask with a cage .,Dave Dryden serves the distinction of creating ( as well as being the first goaltender to employ ) the modern day goaltending mask consisting of a fiberglass mask with a cage .
"Elias Victor Seixas , Jr. ( born August 30 , 1923 ) is an American former tennis player .","Elias Victor Seixas , Jr. ( IPA : [ ˈseɪʃəs ] ; born August 30 , 1923 ) is an American former tennis player ."
"Garnet Exelby ( born August 16 , 1981 in Craik , Saskatchewan ) is a Canadian professional ice hockey defenceman .","John Garnet Exelby ( born August 16 , 1981 ) is a Canadian professional ice hockey defenceman ."
"Ottmar Walter ( 3 March , 1924 – 16 June , 2013 ) was a German football player .",Ottmar Kurt Herrmann Walter ( 6 March 1924 – 16 June 2013 ) was a German footballer .
"A mule kick is a move where a wrestler that is facing away from a charging opponent , bends down and pushes out one of their feet , hitting the opponent with the bottom of it .","While facing away from a charging opponent , the wrestler bends down and pushes out one foot , striking the opponent with the bottom of it ."
The draw for the round of 16 was held on 15 December 2014 .,The draw for the play-off round was held on 8 August 2014 .
He finished second in the BC3 one person event .,He finished first in the BC3 one person event .
Brian Bellows • Wayne Gretzky • Cam Neely,Michel Goulet • Wayne Gretzky • Cam Neely
"The first order systems for para-Alpine sking were made in Scandinavia in the 1960s , with early systems designed for skiers with no legs or arms .","The first classification systems for para-alpine skiing were developed in Scandinavia in the 1960s , with early systems designed for skiers with amputations ."
"Luis Emilio Gonzalez ( born September 3 , 1967 in Tampa , Florida ) is a retired American Major League Baseball ( MLB ) outfielder .","Luis Emilio Gonzalez ( born September 3 , 1967 in Tampa , Florida ) , nicknamed `` Gonzo '' , is a former Major League Baseball outfielder ."
Tsonga reached the semi-final at the 2010 Australian Open and at Wimbledon in 2011 and 2012 .,Tsonga then entered the 2011 Australian Open .
In his debut match he teamed with Keith Walker against Kofi Kingston and Eric Perez,"In his debut match on June 27 , he teamed with Keith Walker to defeat Kofi Kingston and Eric Pérez ."
She also lost in the second round of the doubles event ( partnering Francesca Schiavone ) to Shahar Peer and Gisela Dulko .,She also won the doubles event in Cincinnati with Shahar Pe'er .
